Script ID,Sentence,VT,Ambig ,Comp Q,Resp,,,,,
E1I1,The wise consumer understood the label was a very misleading one.,DO,Ambiguous,Was the consumer easily tricked?,N,,,,,
E1I2,The experienced boss emphasized the objective should not be abandoned yet.,DO,Ambiguous,Should the goal be pursued further?,Y,,,,,
E1I3,The popular novelist wrote the essay would change the voters' minds.,DO,Ambiguous,Would the essay influence anyone?,Y,,,,,
E1I4,The amateur musician learned the song couldn't be recorded for hours,DO,Ambiguous,Could the song be recorded later?,Y,,,,,
E1I5,The coast guard confirmed the drowning could not have been avoided.,DO,Ambiguous,Could the sailor have been saved?,N,,,,,
E1I6,The upset customer asserted the complaint should be taken very seriously.,DO,Ambiguous,Was the customer happy with the service?,N,,,,,
E1I7,The devoted caretaker maintained the garden was causing his chronic allergies.,DO,Ambiguous,Were cats the cause of his allergies?,N,,,,,
E1I8,The stuttering child repeated the threat was highly unnecessary and hurtful.,DO,Ambiguous,Was the threat mean-spirited?,Y,,,,,
E2I1,The two hunters heard that the birds had begun migrating in October.,DO,Unambiguous,Were the birds migrating?,Y,,,,,
E2I2,The local publisher printed that the quote had not been accurately reported.,DO,Unambiguous,Could someone have been misquoted?,Y,,,,,
E2I3,The distracted businessman forgot that the address was written in the e-mail.,DO,Unambiguous,Was the address written on paper?,N,,,,,
E2I4,The new mayor advocated that the strategy could be implemented next year.,DO,Unambiguous,Does the mayor want to implement the strategy?,Y,,,,,
E2I5,The French explorers discovered that the treasure had caused a vicious battle.,DO,Unambiguous,Had the treasure caused a conflict?,Y,,,,,
E2I6,The political group protested that the treaty had been broken many times.,DO,Unambiguous,Had the treaty been followed?,N,,,,,
E2I7,The basketball star accepted that the contract would have to be negotiated.,DO,Unambiguous,Should the star sign right away?,N,,,,,
E2I8,The angry residents warned that the kids had disturbed every single weekend.,DO,Unambiguous,Were the residents pleased with the kids?,N,,,,,
E3I1,The travel agent suggested the vacation would just have to wait.,SC,Ambiguous,Was now a good time for a vacation?,N,,,,,
E3I2,The new babysitter worried the parents would be several hours late.,SC,Ambiguous,Did the babysitter worry the parents?,N,,,,,
E3I3,The local detectives proved the conspiracy had been carefully covered up.,SC,Ambiguous,Had the conspiracy been concealed?,Y,,,,,
E3I4,The cab driver assumed the blame belonged to the other driver.,SC,Ambiguous,Did the cab driver claim responsibility?,N,,,,,
E3I5,The district attorney argued the point would be impossible to avoid.,SC,Ambiguous,Would the point be easily forgotten?,N,,,,,
E3I6,The famous justice decided the case should never have been tried.,SC,Ambiguous,Was the case tried?,Y,,,,,
E3I7,The injured woman suspected the teenager had hit her from behind.,SC,Ambiguous,Did the woman suspect the teenager?,Y,,,,,
E3I8,The weary traveler claimed the luggage had been stolen in Rome.,SC,Ambiguous,Did the traveler's luggage disappear?,Y,,,,,
E4I1,The naive child believed that the fable had been written for him.,SC,Unambiguous,Was the child somewhat gullible?,Y,,,,,
